PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-24,சிறுமலர் தொடக்க பள்ளி ஆண்டாவூரணி ,68,1024,642,10.6,மேற்கு பகுதி ,ஆண்டாவூரணி ,திருவாடனை ,"ஆண்டாவூரணி (பரமணிவயல் வார்டு 1)
ஆண்டாவூரணி (பனிச்சிக்குடி வார்டு 2)",495,527,1022,,கூகுடி,கூகுடி,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,38,210,,,
210-25,சிறுமலர் தொடக்க பள்ளி ஆண்டாவூரணி ,37,559,405,9.1,கிழக்கு பகுதி ,ஆண்டாவூரணி ,திருவாடனை ,"பரமணிவயல் வார்டு 1
மணவாளன் வயல் வார்டு 1
சித்தாமங்கலம் வார்டு 2
பனிச்சிக்குடி வார்டு 2",277,282,559,,கூகுடி,கூகுடி,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,23,210,,,
210-26,ஊராட்சி ஒன்றிய தொடக்க பள்ளி பேராமங்களம்,106,1137,729,14.5,,பாகனூர் ,திருவாடனை ,"இளஞ்சியமங்கலம் வார்டு 1
மெய்க்கவயல் வார்டு 1
பாகனுர் வார்டு 1
பேராமங்களம் வார்டு 1
மணலூர் வார்டு 2
தாதாக்கன்கோட்டை வார்டு 2
கிடங்கூர்  வார்டு 2",584,552,1136,,பாகனுர்,பாகனுர்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,44,210,,,
210-27,ஊராட்சி ஒன்றிய தொடக்க பள்ளி சிறுகம்பையூர்,24,640,393,6.1,மேற்கு பகுதி ,சிறுகம்பையூர் ,திருவாடனை ,"முடுக்கவையல் வார்டு 1
உப்புக்கோட்டை வார்டு 1
வெள்ளாளர்கோட்டை வார்டு 1
சவுந்திர பாண்டியன் குடியிருப்பு வார்டு 1
பெரிய குடியிறுப்பு வார்டு 1",339,301,640,,மயிலாடுவயல் ,சிறுகம்பையூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,27,210,,,
210-28,ஊராட்சி ஒன்றிய தொடக்க பள்ளி சிறுகம்பையூர்,69,703,458,15.1,கிழக்கு பகுதி ,சிறுகம்பையூர் ,திருவாடனை ,"மறவர் கோட்டை வார்டு 1
மயிலாடு வயல் வார்டு 2
பூனைக்குட்டி வயல் வார்டு 2
ஆரியன் வயல் வார்டு 2
கஞ்சக்கோன் வயல் வார்டு 2",361,342,703,,மயிலாடுவயல் ,சிறுகம்பையூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,29,210,,,
210-29,ஊராட்சி ஒன்றிய நடுநிலை பள்ளி பதனக்குடி ,22,691,403,5.5,,பதனக்குடி ,திருவாடனை ,"பதனக்குடி வார்டு 1
பதனக்குடி வார்டு 2
பதனக்குடி வார்டு 3",355,336,691,,பதனக்குடி,சிறுகம்பையூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,28,210,,,
210-30,ஊராட்சி ஒன்றிய நடுநிலை பள்ளி நிலமழகியமங்கலம்,31,1054,734,4.2,கிழக்கு பகுதி ,நிலமழகியமங்கலம் ,திருவாடனை ,"நிலமழகியமங்கலம் வார்டு 1
நிலமழகியமங்கலம் வார்டு 2
நிலமழகியமங்கலம் வார்டு 1,2",530,524,1054,,நிலமழகியமங்கலம் ,நிலமழகியமங்கலம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,38,210,,,
210-31,ஊராட்சி ஒன்றிய நடுநிலை பள்ளி நிலமழகியமங்கலம்,2,249,163,1.2,மேற்கு பகுதி,நிலமழகியமங்கலம் ,திருவாடனை ,"நிலமழகியமங்கலம் வார்டு 2
நெடும்பொட்டல் வார்டு 2
அரசனேந்தல் வார்டு 2
சிறுநாகுடி வார்டு 2",128,120,248,,நிலமழகியமங்கலம் ,நிலமழகியமங்கலம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,13,210,,,
210-32,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, கட்டிவயல்",25,839,615,4.1,,கட்டிவயல்,திருவாடனை ,"கட்டிவயல் வார்டு 1
கீழக்குறிச்சி வார்டு 2
ஆக்களுர் வார்டு 3
நைனாவயல் வார்டு 6",420,419,839,,கட்டிவயல்,ஆக்களுர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,32,210,,,
210-33,"ரோமன் கத்தோலிக்க தொடக்கப்பள்ளி, எட்டுகுடி",16,435,264,6.1,,கட்டிவயல்,திருவாடனை ,"சிறுநல்லூர் வார்டு 4
எட்டுகுடி வார்டு 5",212,223,435,,கட்டிவயல்,ஆக்களுர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,19,210,,,
