PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-176,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, உப்பூர் சத்திரம்.",63,1013,783,8,தெற்குக்கட்டிடம்,கடலூர்,R.S.மங்களம்,மோர்பண்ணை,491,522,1013,,உப்பூர்,உப்பூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,36,210,,,
210-177,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, உப்பூர் சத்திரம்.",44,797,631,7,வடக்கு கட்டிடம் - நடுப்பக்கம்,கடலூர்,R.S.மங்களம்,மோர்ப்பண்ணை 2,397,399,796,,உப்பூர்,உப்பூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,28,210,,,
210-178,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, உப்பூர் சத்திரம்.",69,943,652,10.6,தெற்குக்கட்டிடம்,ஊரணங்குடி,R.S.மங்களம்,"ஊரணங்குடி (வடக்கு)
புது ஊரணங்குடி
தெற்கு ஊரணங்குடி
புறகரை",486,457,943,,ஊரணங்குடி,உப்பூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,36,210,,,
210-179,"ஊராட்சி ஒன்றிய நடுநிலைபள்ளி, பாரனூர், தெற்கு கட்டிடம், பாரனூர்",29,1030,779,3.7,,பாரனூர்,R.S.மங்களம்,"மயிலூரணி
பாரனூர்",516,513,1029,,ஆவரேந்தல்,பாரனூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,38,210,,,
210-180,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, ஆவரேந்தல்",63,1092,748,8.4,கிழக்கு கட்டிடம் வடக்குபகுதி,பாரனூர்,R.S.மங்களம்,"கைலாசசமுத்திரம்
ஆவரேந்தல்",507,585,1092,,ஆவரேந்தல்,பாரனூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,40,210,,,
210-181,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, ஆவரேந்தல்",25,556,430,5.8,கிழக்கு கட்டிடம் - தெற்குப்பகுதி,கொத்திடல்,R.S.மங்களம்,"கொத்திடல்
களக்குடி",286,270,556,,ஆவரேந்தல்,பாரனூர்,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,22,210,,,
210-182,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி,  இராஜசிங்கமங்கலம்",13,716,424,3.1,"(புதிய கட்டிடம்),தெற்கு கிழக்குப்பகுதி,",இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-1 சேக்தாவூது 2வது தெரு
வார்டு-2 அரசுஊரணி மேலகரை
வார்டு-2 பெருமாள் கோவில் தெரு
வார்டு-2 சேக்தாவூது தெரு 3
வார்டு-2 மீன்சந்தை தெரு
வார்டு-2 காந்தி தெரு மேற்கு
வார்டு-2 பிஸ்மி தெரு
வார்டு-3 தர்மர்கோயில் தெரு தெற்கு
வார்டு-3 காந்தி தெரு கிழக்கு",345,371,716,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,31,210,சிற்ரூராட்சி ,,
210-183,"அரசு ஆண்கள் மேல்நிலைப்பள்ளி, , இராஜசிங்கமங்களம்",30,1116,639,4.7,வடக்கு கட்டிடம் - நடுப்பகுதி,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-1 செட்டியமடை 1வது தெரு
வார்டு-1 செட்டியமடை 2வது தெரு
வார்டு-1 சேக்தாவூது தெரு 1வது சந்து
வார்டு-1 பரம்பை ரோடு வடக்கு
வார்டு-2 பரம்பை ரோடு வடக்கு 4
வார்டு-2 பரம்பை ரோடு வடக்கு 8",552,564,1116,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,41,210,சிற்ரூராட்சி ,,
210-184,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி,  இராஜசிங்கமங்கலம்",46,1200,705,6.5,"புதிய கட்டிடம், தெற்குப்பக்கம், மேற்கு பகுதி",இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-4 புல்லமடைரோடு கிழக்கு
வார்டு-4 தர்மர்கோவில் தெரு கிழக்கு
வார்டு-4 பஸ்டாண்டு மெயின் ரோடு
வார்டு-4 டி.டி. மெயின் ரோடு வடக்கு
வார்டு-4 சதக்கத்துல்லா அப்பா தெரு
வார்டு-4 பல்லாக்கு ஒலியுல்லா தெரு
வார்டு-4 டி.டி. மெயின் ரோடு வடக்கு
வார்டு-5 சவேரியார் நகர்
வார்டு-5 டி.டி. மெயின்ரோடு 4வது தெரு",585,615,1200,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,46,210,சிற்ரூராட்சி ,,
210-185,"அரசு ஆண்கள் மேல்நிலைப்பள்ளி,  இராஜசிங்கமங்களம்.",16,761,523,3.1,"வடக்கு கட்டிடம் - மேற்குப்பக்கம்,",இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-3 அரசு ஊரணி கீழ்கரை
வார்டு-3 அத்தாகமால் பாட்சா தெரு
வார்டு-3 தர்மர் கோயில் தெரு வடக்கு
வார்டு-3 அக்பர் தெரு
வார்டு-3 புல்லமடைரோடு மேற்கு",389,371,760,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,31,210,சிற்ரூராட்சி ,,
210-186,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி,  இராஜசிங்கமங்கலம்",52,1141,769,6.8," மேற்கு கட்டிடம் (தெற்குப் பகுதி),",இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-8 சிதம்பரனார் தெரு
வார்டு-8 கம்பர் தெரு
வார்டு-8 பரம்பைரோடு
வார்டு-8 இஸ்மாயில் சாகிப் பஜார்
வார்டு-8 ஆசாத் தெரு
வார்டு-7 அலிகார்சாலை மேற்கு
வார்டு-7 பரம்பை ரோடு தெற்கு
வார்டு-8 பாரதியார் தெரு
வார்டு-8 நிஜாம் தெரு
வார்டு-8 வள்ளுவர் தெரு",555,585,1140,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,45,210,சிற்ரூராட்சி ,,
210-187,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி,  இராஜசிங்கமங்கலம்",11,592,392,2.8,மேற்கு கட்டிடம்,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-15 என்.என். பார்க் தெரு கிழக்கு
வார்டு-15 உமறுப்புலவர் தெரு
வார்டு-15 கலைஞர் தெரு",290,302,592,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,24,210,சிற்ரூராட்சி ,,
210-188,"அரசு ஆண்கள் மேல்நிலைப்பள்ளி,  இராஜசிங்கமங்கலம்",20,870,655,3.1,வடக்கு கட்டிடம் கிழக்குப்பகுதி,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-10 பிச்சனாகோட்டை
வார்டு-10 பெத்தார்தேவன்கோட்டை
வார்டு-9 சீர்பாதம்தாங்கி ஏந்தல்
வார்டு-9 பெருமாள்மடை காலனி",427,443,870,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,35,210,சிற்ரூராட்சி ,,
210-189,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி,  இராஜசிங்கமங்கலம்",11,997,616,1.8,மேற்கு கட்டிடம் - வடக்கு பகுதி,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-14 இஸ்மாயில்சாஹிப்பஜார் மேற்கு
வார்டு-14 ஜாகீர்உசேன் தெரு
வார்டு-14 அலிகார் சாலை
வார்டு-14 பரக்கத்தெரு வடக்கு
வார்டு-13 பரக்கத்தெரு
வார்டு-13 மதினா தெரு
வார்டு-13 பள்ளிவாசல் தெரு வடக்கு 1வது சந்து
வார்டு-12 பள்ளிவாசல் தெரு 1",503,494,997,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,40,210,சிற்ரூராட்சி ,,
210-190,"அரசு பெண்கள் மேல்நிலைப்பள்ளி, இராஜசிங்கமங்கலம்",2,442,244,0.8,மேற்கு கட்டிடம் தெற்குப்பகுதி,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-12 ஹைதர் வளைவு
வார்டு-13 பள்ளிவாசல் தெரு
வார்டு-11 அலியார் சாலை மேற்கு
வார்டு-12 பள்ளிவாசல் தெரு 2",206,236,442,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,20,210,சிற்ரூராட்சி ,,
210-191,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,, இராஜசிங்கமங்களம்",12,705,460,2.6," கிழக்குப்பகுதி, புதுக்கட்டிடம்",இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-12 கோடையிடி சந்து
வார்டு-11 அலிகார் சாலை மேற்கு
வார்டு-10 இக்பால் தெரு
வார்டு-11 முகம்மது கோயா தெரு
வார்டு-5 டி.டி. மெயின் ரோடு தெற்கு 1
வார்டு-5 குயவன் குண்டு
வார்டு-12 அலிகார் சாலை மேற்கு வார்டு 12",354,351,705,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,30,210,சிற்ரூராட்சி ,,
210-192,"அரசு பெண்கள் மேல்நிலைப்பள்ளி, இராஜசிங்கமங்கலம்",6,774,477,1.3,மேற்கு கட்டிடம் வடக்குப்பகுதி,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-11 இக்பால் தெரு
வார்டு-10 முகம்மது கோயா தெரு",381,393,774,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,29,210,சிற்ரூராட்சி ,,
210-193,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  இராஜசிங்கமங்களம்",64,1436,955,6.7,கிழக்கு கட்டிடம்,இராஜசிங்கமங்கலம் ,R.S.மங்களம்-S,"வார்டு-6 கீழக்கோட்டை
வார்டு-6 டி.டி. மெயின் ரோடு தெற்கு
வார்டு-7 தருமபுரம்
வார்டு-7 டி.டி. மெயின் ரோடு தெற்கு
வார்டு-7 பழைய பேருந்து நிலையம்
வார்டு-7 அரியநாயகம் சேர்வைம்ம் தெரு
வார்டு-7 பாரதியார் தெரு கிழக்கு
வார்டு-7 தர்ம முனீஸ்வரன் கோவில் தெரு
வார்டு-7 டி.டி. மெயின் ரோடு தெற்கு",707,729,1436,,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,54,210,சிற்ரூராட்சி ,,
210-194,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி, வரவணி",10,551,287,3.5,கிழக்கு பக்கம்,வரவணி,R.S.மங்களம்,"சாத்தமங்கலம்
கூட்டாம்புளி
கொட்டுப்புலி",308,243,551,,வரவணி,வரவணி,முதுகுளத்தூர் தெற்கு ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,23,210,,,
210-195,"சி.எஸ்.ஐ. தொடக்கப்பள்ளி, வரவணி",47,1199,788,6,புதிய கட்டிடம்,வரவணி,R.S.மங்களம்,"வரவனிமேற்க்குத்தெரு
வரவனி கிழக்குத்தெரு
வ.பரமக்குடி",583,615,1198,,வரவணி,வரவணி,முதுகுளத்தூர் தெற்கு ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,44,210,,,
210-196,"செயின்ட் மைக்கேல்மேல்நிலைப்பள்ளி., செங்குடி",26,698,482,5.4,மேற்குப்பக்கம்,செங்குடி,R.S.மங்களம்,"செங்குடி வடக்குத்தெரு
செங்குடி தெற்கு தெரு
செங்குடி காலனி
மேலச்செங்குடி",357,341,698,,செங்குடி,செங்குடி,முதுகுளத்தூர் தெற்கு ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,28,210,,,
210-197,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, அழகர்தேவன்கோட்டை",34,668,493,6.9,மேற்குப்பக்கம்,அழகர்தேவன்கோட்டை,R.S.மங்களம்,"நோக்கன் கோட்டை
தலக்கான் பச்சேரி
பெரியான் பச்சேரி
அளிந்திக்கோட்டை",339,328,667,,அழகர்தேவன்கோட்டை,அழகர்தேவன்கோட்டை,சோளந்தூர் ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,26,210,,,
210-198,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, அழகர்தேவன்கோட்டை",37,660,508,7.3,கிழக்குப்பக்கம்,அழகர்தேவன்கோட்டை,R.S.மங்களம்,"அண்ணாமலை நகர்
மங்கலம்
அழகர்தேவன்கோட்டை
சூரமடை",332,328,660,,அழகர்தேவன்கோட்டை,அழகர்தேவன்கோட்டை,சோளந்தூர் ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,28,210,,,
210-199,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, காவனூர்",58,1037,717,8.1,பழைய கட்டிடம் - மேற்குப்பகுதி,காவனூர்(RSM),R.S.மங்களம்,"அடந்தனார்கோட்டை
காவனூர்
மேலவயல்",536,501,1037,,"சித்தூர்வாடி மற்றும்  
கருங்குடி ",உப்பூர் ,சோளந்தூர் ,R.S. மங்களம் ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,39,210,,,
210-200,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, காவனூர்",15,1049,718,2.1,பழைய கட்டிடம் - கிழக்குப்பகுதி,காவனூர்(RSM),R.S.மங்களம்,"வடக்கு வளமாவூர்
தெற்கு வளமாவூர்
தூத்தியேந்தல்
நாகனேந்தல்",556,493,1049,,வளமாவூர்,கருங்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623537,38,210,,,
210-201,"ரோமன் கத்தோலிக்க மிஷன் உயர்நிலைப்பள்ளி, இருதயபுரம்",46,1221,802,5.7,வடக்கு பக்கம்,தும்படைக்காகோட்டை,R.S.மங்களம்,"ஆவான்பச்சேரி
மருதம்பச்சேரி
கருப்பகுடும்பன் பச்சேரி
தும்படைக்காகோட்டை
பொன்மாரி
பொன்னாண்டார்கோட்டை
பன்னாகோட்டை
இருதயபுரம்
மாங்குளம்",601,620,1221,,தும்படைக்காகோட்டை,தும்படைக்காகோட்டை,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,48,210,,201,
210-201,"ரோமன் கத்தோலிக்க மிஷன் உயர்நிலைப்பள்ளி, இருதயபுரம்",,,,#DIV/0!,வடக்கு பக்கம்,அழகர்தேவன்கோட்டை ,R.S.மங்களம்,"களிச்சிக்கட்டிமடை
நெடும்புளிக்கோட்டை
ரெகுநாதமடை",,,0,,,,,,,,,,210,,201,
210-202,"ரோமன் கத்தோலிக்க மிஷன் உயர்நிலைப்பள்ளி, இருதயபுரம்",42,1126,784,5.4,தெற்கு பக்கம்,தும்படைக்காகோட்டை,R.S.மங்களம்,"பெரியபொட்டக்கோட்டை
பணிக்கோட்டை
புலிவீரதேவன் கோட்டை
கொல்லான்பச்சேரி
சின்னபொட்டக் கோட்டை
இருவான்பச்சேரி
முத்துவேலாயுததேவர் குடியிருப்பு",565,561,1126,,தும்படைக்காகோட்டை,தும்படைக்காகோட்டை,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,43,210,,,
210-203,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, , சீனாங்குடி",54,937,719,7.5,சீனாங்குடி,பிச்சங்குறிச்சி,R.S.மங்களம்,"பிச்சங்குறிச்சி
களவாங்குடி
முள்ளிக்குடி
புரண்டியாரேந்தல்
சீனாங்குடி",485,452,937,,சீனாங்குடி,சீனாங்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623537,37,210,,,
210-204,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, சோழந்தூர்",36,953,670,5.4,,சோழந்தூர்,R.S.மங்களம்,"சோழந்தூர்
மேட்டுச்சோழந்தூர்",454,499,953,,சோளந்தூர் ,சோளந்தூர் ,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623537,34,210,,,
210-205,"ஆதிதிராவிடர் உயர்நிலைப் பள்ளி, வடவயல்",21,394,306,6.9,,சோழந்தூர்,R.S.மங்களம்,வடவயல்,204,190,394,,சோளந்தூர் ,சோளந்தூர் ,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623537,17,210,,,
210-206,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி ,கருங்குடி",36,883,615,5.9,கிழக்கு பக்கம்,கருங்குடி,R.S.மங்களம்,"மாவலிங்கை ஏந்தல்
கொத்தமங்கலம்
கொத்தியார்கோட்டை
ஆலங்குளம்",436,440,876,,கருங்குடி,கருங்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,34,210,,,
210-207,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி ,கருங்குடி",18,801,591,3,"மேற்குபகுதி
",கருங்குடி,R.S.மங்களம்,"கருங்குடி கிறிஸ்தவர் குடியிருப்பு
கருங்குடி
ஊரவயல்
பால்குளம்",416,385,801,,கருங்குடி,கருங்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,31,210,,,
210-208,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, கிழக்கு, அத்தானூர்",33,501,378,8.7,,கருங்குடி,R.S.மங்களம்,அத்தானூர்,244,257,501,,கருங்குடி,கருங்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623525,20,210,,,
210-209,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",5,634,342,1.5,"கிழக்குகட்டிடம்,வடக்குபகுதி, ",திருப்பாலைக்குடி,R.S.மங்களம்,"திருப்பாலைக்குடி வடக்கு தெரு
திருப்பாலைக்குடி வடக்குத்தெரு வார்டு 2",308,325,633,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,24,210,,,
210-210,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",5,905,552,0.9,"மேற்கு கட்டிடம், தெற்குப்பகுதி",திருப்பாலைக்குடி,R.S.மங்களம்,"திருப்பாலைக்குடி கிழக்குத்தெரு
திருப்பாலைக்குடி மேற்குத்தெரு",474,431,905,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,34,210,,,
210-211,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",12,597,356,3.4,"கிழக்கு கட்டிடம் -தெற்குபகுதி
",திருப்பாலைக்குடி,R.S.மங்களம்,"திருப்பாலைக்குடி வடக்குதெரு
கீழக்குத்தெரு
காந்திநகர்",307,290,597,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,24,210,,,
210-212,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",15,712,445,3.4,மேற்கு கட்டிடம் - வடக்குப்பகுதி,திருப்பாலைக்குடி,R.S.மங்களம்,தெற்குத்தெரு-1,349,363,712,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,27,210,,,
210-213,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",10,534,332,3,தெற்குக் கட்டிடம் - மேற்குப்பகுதி,திருப்பாலைக்குடி,R.S.மங்களம்,"தெற்குத்தெரு-2
தெற்குத்தெரு வார்டு 2",249,285,534,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,21,210,,,
210-214,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",5,741,464,1.1,மேற்குப்பக்கம் - தெற்குக் கட்டிடம் - வடக்குப்பகுதி,திருப்பாலைக்குடி,R.S.மங்களம்,"திருப்பாலைக்குடி கிழக்குத்தெரு மேற்கு
கிழக்குத்தெரு",368,373,741,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,28,210,,,
210-215,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",57,973,789,7.2,மேற்குப்பக்கம் - தெற்குக் கட்டிடம் - தெற்குப்பக்கம்,திருப்பாலைக்குடி,R.S.மங்களம்,மாரியம்மன் கோவில் தெரு,499,474,973,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,34,210,,,
210-216,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",41,852,608,6.7,மேற்குப்பக்கம் - வடக்குக் கட்டிடம் - தெற்குப்பக்கம்,திருப்பாலைக்குடி,R.S.மங்களம்,"மந்திரநாதசாமி கோவில்
பழங்கோட்டை",457,394,851,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,32,210,,,
210-217,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",21,473,376,5.6,கிழக்கு கட்டிடம் - நடுப்பகுதி,திருப்பாலைக்குடி,R.S.மங்களம்,முருகானந்தபுரம்,183,290,473,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,18,210,,,
210-218,"அரசு மேல்நிலைப்பள்ளி, திருப்பாலைக்குடி",64,1245,946,6.8,மேற்குப் பக்கம் - வடக்குக் கட்டிடம் - வடக்குப்பகுதி,திருப்பாலைக்குடி,R.S.மங்களம்,"காந்திநகர்
மாரியம்மன் கோவில் தெரு
மீனவர் தெரு",651,594,1245,,திருப்பாலைக்குடி,திருப்பாலைக்குடி,சோளந்தூர் ,திருப்பாலைக்குடி ,இராஜசிங்கமங்கலம் ,இராமநாதபுரம் ,623531,42,210,,,
210-219,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, நாரணமங்கலம்",34,820,501,6.8,,வெண்ணத்தூர் ,இராம்நாடு,சிறுகுடி (வார்டு 1),400,420,820,,பாண்டமங்களம்,நாரணமங்கலம்,தேவிபட்டிணம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,32,210,,219,1
210-219,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, நாரணமங்கலம்",,,,#DIV/0!,,நாரணமங்கலம்,இராம்நாடு,"வேலாங்குளம் (வார்டு 3)
நாரணமங்களம் (வார்டு 3)",,,0,,,,,,,,,,210,,219,1
210-220,"
ஊராட்சி ஒன்றிய தொடக்கப்.பள்ளி, எருமைப்பட்டி",25,642,429,5.8,,பாண்டமங்களம்,இராம்நாடு,பாண்டமங்களம் (வார்டு 1),321,320,641,,பாண்டமங்களம்,நாரணமங்கலம்,தேவிபட்டிணம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,26,210,,220,1
210-220,"
ஊராட்சி ஒன்றிய தொடக்கப்.பள்ளி, எருமைப்பட்டி",,,,#DIV/0!,,வெண்ணத்தூர்,இராம்நாடு,எருமைப்பட்டி (வார்டு 2),,,0,,,,,,,,,,210,,220,1
210-221,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, புதிய கட்டிடம் திம்மாபட்டி",9,504,340,2.6,,நாரணமங்கலம்,இராம்நாடு,"திம்மாப்பட்டி (வார்டு 3)
வடக்கனேந்தல் (வார்டு 4)
வைகை (வார்டு 4)",246,258,504,,பாண்டமங்களம்,நாரணமங்கலம்,தேவிபட்டிணம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,22,210,,,1
210-222,"அரசு உயர்நிலைப்பள்ளி,  சம்பை",39,1086,768,5.1,"புதுக்கட்டிடம், (கிழக்குப் பகுதி)",வெண்ணத்தூர்,இராம்நாடு,"சம்பை
பத்தனேந்தல்
ஆண்டிச்சியேந்தல்",556,530,1086,,வெண்ணத்தூர்,வெண்ணத்தூர்,தேவிபட்டிணம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,40,210,,,1
